Name,Age,Occupation,Hometown,Season
Trista Rehn,30.0,Physical therapist,"Indianapolis, Indiana",1
Meredith Phillips,,Makeup artist,,2
"Jennifer ""Jen"" Schefft",,Publicist,,3
DeAnna Pappas,,Real estate agent,,4
Jillian Harris,29.0,Interior designer,"Vancouver, British Columbia, Canada",5
Ali Fedotowsky,25.0,Advertising account manager,Massachusetts,6
Ashley Hebert,,Dental student,,7
Emily Maynard,,Children's hospital event planner,"Charlotte, North Carolina",8
Desiree Hartsock,27.0,Bridal stylist,Colorado,9
Andi Dorfman,26.0,Assistant District Attorney,"Atlanta, Georgia",10
Kaitlyn Bristowe,29.0,Dance Instructor,"Vancouver, British Columbia, Canada",11
"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,"Dallas, Texas",12
Rachel Lindsay,31.0,Attorney,"Dallas, Texas",13
